Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",116.9,2.81,+2.46%,117.07,113.67,3778400,11/30/20
AAL,"American Airlines Gp",14.13,-0.85,-5.67%,14.96,13.93,97386898,11/30/20
AAP,"Advance Auto Parts Inc",147.7,-2.23,-1.49%,150.3,147.37,1521600,11/30/20
AAPL,"Apple Inc",119.05,2.46,+2.11%,120.97,116.81,169250703,11/30/20
ABBV,"Abbvie Inc",104.58,-0.31,-0.30%,105.42,103.65,20725900,11/30/20
ABC,"Amerisourcebergen Corp",103.11,-0.09,-0.09%,104.51,102.47,1223200,11/30/20
ABMD,"Abiomed Inc",274.1,2.2,+0.81%,274.91,269.01,395300,11/30/20
ABT,"Abbott Laboratories",108.22,0.6,+0.56%,108.55,107.09,5701700,11/30/20
ACN,"Accenture Plc",249.09,-1.03,-0.41%,250.44,246.29,2441400,11/30/20
ADBE,"Adobe Systems Inc",478.47,1.44,+0.30%,480.86,469.2,2786400,11/30/20
ADI,"Analog Devices",139.08,1.33,+0.97%,139.32,137.1,3010500,11/30/20
ADM,"Archer Daniels Midland",49.77,-0.68,-1.35%,50.27,49.4,2624800,11/30/20
ADP,"Automatic Data Procs",173.88,-1.37,-0.78%,175.1,171.33,2846300,11/30/20
ADSK,"Autodesk Inc",280.23,7.42,+2.72%,281.35,272.21,2612200,11/30/20
AEE,"Ameren Corp",77.78,-1.21,-1.53%,78.77,77.57,1418600,11/30/20
AEP,"American Electric Power Company",84.89,-0.03,-0.04%,85.25,84.01,3484500,11/30/20
AES,"The Aes Corp",20.44,-0.6,-2.85%,21.03,20.38,8001700,11/30/20
AFL,"Aflac Inc",43.93,-1.35,-2.98%,45.19,43.91,5918300,11/30/20
AIG,"American International Group",38.44,-1.27,-3.20%,39.61,38.4,6426000,11/30/20
AIV,"Apartment Investment and Management",30.35,-0.43,-1.40%,31.03,30.22,1621900,11/30/20
AIZ,"Assurant Inc",129.12,-4.67,-3.49%,133.77,129.04,504500,11/30/20
AJG,"Arthur J. Gallagher & Company",115.41,-0.45,-0.39%,116.12,115.03,928600,11/30/20
AKAM,"Akamai Technologies",103.51,-0.81,-0.78%,104.46,103.06,2355300,11/30/20
ALB,"Albemarle Corp",135.97,-1.69,-1.23%,137.5,134.16,1096100,11/30/20
ALGN,"Align Technology",481.29,5.79,+1.22%,483.88,471.31,1113800,11/30/20
ALK,"Alaska Air Group",50.97,-0.58,-1.13%,52,49.62,2022500,11/30/20
ALL,"Allstate Corp",102.35,-1.79,-1.72%,103.88,102.15,2931700,11/30/20
ALLE,"Allegion Plc",114.04,-0.24,-0.21%,114.15,112.6,956800,11/30/20
ALXN,"Alexion Pharm Inc",122.11,-1.72,-1.39%,124,120.8,1964100,11/30/20
AMAT,"Applied Materials",82.48,-0.18,-0.22%,82.59,80.71,7542800,11/30/20
AMCR,"Amcor Plc",11.33,-0.15,-1.31%,11.44,11.23,6321000,11/30/20
AMD,"Adv Micro Devices",92.66,5.47,+6.27%,92.74,86.53,84436000,11/30/20
AME,"Amtek Inc",118.53,-1.24,-1.04%,119.81,117.54,964400,11/30/20
AMGN,"Amgen Inc",222.04,-2.77,-1.23%,225.28,219.45,4858000,11/30/20
AMP,"Ameriprise Financial Services",185.24,-5.51,-2.89%,190.12,184.74,1096700,11/30/20
AMT,"American Tower Corp",231.2,-2.89,-1.23%,234.14,228.75,3547200,11/30/20
AMZN,"Amazon.com Inc",3168.04,-27.3,-0.85%,3228.39,3125.55,4057900,11/30/20
ANET,"Arista Networks Inc",270.7,-1.86,-0.68%,274.89,267.38,746800,11/30/20
ANSS,"Ansys Inc",338.06,7.65,+2.32%,338.84,328.75,598600,11/30/20
ANTM,"Anthem Inc",311.52,-1.28,-0.41%,315.3,309.34,1645700,11/30/20
AON,"AON Plc",204.89,-1.69,-0.82%,207.3,204.44,2077700,11/30/20
AOS,"Smith A.O. Corp",56.31,-0.77,-1.35%,56.92,55.79,2645800,11/30/20
APA,"Apache Corp",12.89,-1.03,-7.40%,13.76,12.85,11866600,11/30/20
APD,"Air Products and Chemicals",280.14,2.31,+0.83%,280.15,275.79,1312800,11/30/20
APH,"Amphenol Corp",130.81,-1.14,-0.86%,132.13,130.02,1816100,11/30/20
APTV,"Aptiv Plc",118.7,-3.16,-2.59%,121.97,118.22,2505300,11/30/20
ARE,"Alexandria Real Estate Equities",163.73,1.59,+0.98%,163.92,160.98,876800,11/30/20
ATO,"Atmos Energy Corp",95.89,-0.93,-0.96%,97.25,95.27,2098100,11/30/20
ATVI,"Activision Blizzard",79.48,1.34,+1.71%,79.73,77.78,15234500,11/30/20
AVB,"Avalonbay Communities",166.59,-1.28,-0.76%,168.57,164.27,2290000,11/30/20
AVGO,"Broadcom Ltd",401.58,6.63,+1.68%,402.16,392.74,1545000,11/30/20
AVY,"Avery Dennison Corp",149.34,-0.96,-0.64%,151.24,148.5,590200,11/30/20
AWK,"American Water Works",153.38,-0.35,-0.23%,154.81,152.14,1059700,11/30/20
AXP,"American Express Company",118.59,-2,-1.66%,121.48,118,3517300,11/30/20
AZO,Autozone,1137.65,18.41,+1.64%,1141.98,1106.61,272500,11/30/20
BA,"Boeing Company",210.71,-5.79,-2.67%,217.78,208.52,16471602,11/30/20
BAC,"Bank of America Corp",28.16,-0.83,-2.86%,28.86,28.1,63552000,11/30/20
BAX,"Baxter International Inc",76.07,0.1,+0.13%,76.89,75.61,5824500,11/30/20
BBY,"Best Buy Company",108.8,-3.83,-3.40%,112.68,108.57,6487200,11/30/20
BDX,"Becton Dickinson and Company",234.84,5.88,+2.57%,234.89,229.97,4174600,11/30/20
BEN,"Franklin Resources",21.99,-0.28,-1.26%,22.26,21.89,5934200,11/30/20
BF.B,"Brown Forman Inc Cl B",80.66,-0.44,-0.54%,81.85,80.46,2848200,11/30/20
BIIB,"Biogen Inc",240.17,-3.61,-1.48%,244.19,239.56,2193400,11/30/20
BIO,"Bio-Rad Laboratories",538.5,3.43,+0.64%,544.15,528.3,657900,11/30/20
BK,"Bank of New York Mellon Corp",39.12,-0.83,-2.08%,40.06,38.94,6200700,11/30/20
BKNG,"Booking Holdings Inc",2028.45,-24.22,-1.18%,2058,2019.87,335600,11/30/20
BKR,"Baker Hughes A Ge CO Cl A",18.72,-1.06,-5.36%,19.7,18.7,12001899,11/30/20
BLK,Blackrock,698.35,-16.76,-2.34%,713.19,697.73,888400,11/30/20
BLL,"Ball Corp",96.01,-0.35,-0.36%,97.26,95.35,2172800,11/30/20
BMY,"Bristol-Myers Squibb Company",62.4,-0.65,-1.03%,63.27,61.99,14995700,11/30/20
BR,"Broadridge Financial Solutions Llc",146.88,-0.52,-0.35%,148.02,144.75,812100,11/30/20
BRK.B,"Berkshire Hathaway Cl B",228.91,-2.64,-1.14%,231.29,228.16,5989300,11/30/20
BSX,"Boston Scientific Corp",33.15,-0.45,-1.34%,33.62,33.01,15588500,11/30/20
BWA,"Borgwarner Inc",38.85,-0.65,-1.65%,39.5,38.46,4144900,11/30/20
BXP,"Boston Properties",98.16,-4.27,-4.17%,102.33,98.05,2229300,11/30/20
C,"Citigroup Inc",55.07,-1.6,-2.82%,56.54,54.99,23351199,11/30/20
CAG,"Conagra Brands Inc",36.56,0.62,+1.73%,36.6,35.8,4051600,11/30/20
CAH,"Cardinal Health",54.59,0.81,+1.51%,54.8,53.49,5380600,11/30/20
CARR,"Carrier Global Corp [Carr/I]",38.07,0.26,+0.69%,38.48,37.41,21168801,11/30/20
CAT,"Caterpillar Inc",173.59,-1.49,-0.85%,174.88,172.43,2382300,11/30/20
CB,"Chubb Ltd",147.83,-3.59,-2.37%,150.77,147.08,5984000,11/30/20
CBOE,"CBOE Global Markets Inc",91.32,-0.39,-0.43%,91.74,88.91,993000,11/30/20
CBRE,"CBRE Group Inc",61.14,0.01,+0.02%,61.4,60.37,4042200,11/30/20
CCI,"Crown Castle International Corp",167.57,0.4,+0.24%,167.75,164.01,3208900,11/30/20
CCL,"Carnival Corp",19.98,-1.6,-7.41%,21.77,19.83,86651102,11/30/20
CDNS,"Cadence Design Sys",116.3,-0.28,-0.24%,117.34,114.66,2304100,11/30/20
CDW,"CDW Corp",130.49,-1.74,-1.32%,131.5,129.06,1082000,11/30/20
