Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
A,"Agilent Technologies",116.9,"100% Buy",66.87%,25.53%,2060575,61.13,118.96
AAL,"American Airlines Gp",14.13,"24% Buy",58.33%,77.75%,85022008,8.25,30.78
AAP,"Advance Auto Parts Inc",147.7,"8% Buy",44.39%,25.55%,1104440,71.33,170.5
AAPL,"Apple Inc",119.05,"88% Buy",53.87%,27.27%,106160594,53.15,137.98
ABBV,"Abbvie Inc",104.58,"72% Buy",71.13%,30.86%,10109311,62.55,105.8
ABC,"Amerisourcebergen Corp",103.11,"64% Buy",52.83%,32.28%,1146405,72.06,111.25
ABMD,"Abiomed Inc",274.1,"24% Buy",51.44%,26.16%,244990,119.01,319.19
ABT,"Abbott Laboratories",108.22,"56% Buy",48.86%,27.25%,5169100,61.61,115.14
ACN,"Accenture Plc",249.09,"100% Buy",61.82%,19.21%,1769065,137.15,250.91
ADBE,"Adobe Systems Inc",478.47,"40% Buy",51.70%,40.18%,2677615,255.13,536.88
ADI,"Analog Devices",139.08,"100% Buy",64.52%,27.22%,3021490,79.07,140.38
ADM,"Archer Daniels Midland",49.77,"96% Buy",53.13%,30.06%,2633680,28.92,52.05
ADP,"Automatic Data Procs",173.88,"100% Buy",64.61%,23.91%,1746040,103.11,182.32
ADSK,"Autodesk Inc",280.23,"100% Buy",66.79%,34.89%,1575660,125.38,282.49
AEE,"Ameren Corp",77.78,"40% Buy",42.25%,27.18%,1650275,58.74,87.65
AEP,"American Electric Power Company",84.89,"40% Buy",43.60%,20.06%,3000595,65.14,104.97
AES,"The Aes Corp",20.44,"88% Buy",52.33%,36.52%,5894345,8.11,22.32
AFL,"Aflac Inc",43.93,"100% Buy",62.62%,49.44%,4664700,23.07,54.83
AIG,"American International Group",38.44,"100% Buy",61.55%,58.00%,6378390,16.07,56.42
AIV,"Apartment Investment and Management",30.35,"88% Sell",44.95%,79.79%,2104960,24.53,55.68
AIZ,"Assurant Inc",129.12,"80% Buy",50.08%,32.19%,486480,76.27,142.61
AJG,"Arthur J. Gallagher & Company",115.41,"100% Buy",60.88%,22.67%,955135,65.09,118.39
AKAM,"Akamai Technologies",103.51,"40% Sell",49.82%,26.53%,1530165,75.18,120
ALB,"Albemarle Corp",135.97,"100% Buy",72.71%,54.62%,1364530,48.89,138.19
ALGN,"Align Technology",481.29,"100% Buy",66.30%,41.49%,677630,127.88,507.05
ALK,"Alaska Air Group",50.97,"100% Buy",65.79%,74.92%,2384000,20.02,70.41
ALL,"Allstate Corp",102.35,"56% Buy",64.78%,22.09%,2123075,64.13,125.92
ALLE,"Allegion Plc",114.04,"100% Buy",57.68%,43.21%,747630,77.37,139.24
ALXN,"Alexion Pharm Inc",122.11,"80% Buy",51.26%,26.98%,1221565,72.67,128.57
AMAT,"Applied Materials",82.48,"100% Buy",73.07%,38.73%,8476100,36.64,83.53
AMCR,"Amcor Plc",11.33,"88% Buy",48.74%,35.87%,6174635,5.8,12.4
AMD,"Adv Micro Devices",92.66,"100% Buy",63.87%,46.09%,45353965,36.75,94.28
AME,"Amtek Inc",118.53,"100% Buy",62.33%,26.74%,1054680,54.82,121.69
AMGN,"Amgen Inc",222.04,"72% Sell",41.62%,25.49%,2601180,177.05,264.97
AMP,"Ameriprise Financial Services",185.24,"100% Buy",58.65%,40.39%,661150,80.01,193.19
AMT,"American Tower Corp",231.2,"88% Sell",44.06%,23.75%,1942150,174.32,272.2
AMZN,"Amazon.com Inc",3168.04,"8% Buy",50.36%,36.31%,4541245,1626.03,3552.25
ANET,"Arista Networks Inc",270.7,"100% Buy",65.62%,52.97%,848155,156.63,280.35
ANSS,"Ansys Inc",338.06,"88% Buy",56.21%,31.98%,400025,200.07,357.92
ANTM,"Anthem Inc",311.52,"88% Buy",53.16%,50.72%,1661020,171.03,338.2
AON,"AON Plc",204.89,"64% Buy",53.61%,25.78%,1796020,143.93,238.19
AOS,"Smith A.O. Corp",56.31,"100% Buy",54.91%,27.29%,957040,33.81,58.66
APA,"Apache Corp",12.89,"8% Buy",60.73%,84.41%,13294479,3.8,33.77
APD,"Air Products and Chemicals",280.14,"8% Sell",47.75%,49.28%,1699205,167.43,327.89
APH,"Amphenol Corp",130.81,"100% Buy",67.27%,22.97%,1469215,63.05,132.45
APTV,"Aptiv Plc",118.7,"100% Buy",65.46%,36.96%,1805110,29.22,122.07
ARE,"Alexandria Real Estate Equities",163.73,"40% Buy",53.63%,23.49%,837270,109.22,177.7
ATO,"Atmos Energy Corp",95.89,"72% Sell",47.97%,40.22%,1067380,77.92,121.08
ATVI,"Activision Blizzard",79.48,"24% Buy",53.28%,28.01%,7589580,50.51,87.73
AVB,"Avalonbay Communities",166.59,"56% Buy",55.84%,47.89%,1222265,118.17,229.4
AVGO,"Broadcom Ltd",401.58,"100% Buy",64.87%,27.02%,1505125,155.67,402.16
AVY,"Avery Dennison Corp",149.34,"100% Buy",58.79%,27.91%,509485,76.96,156.82
AWK,"American Water Works",153.38,"56% Buy",47.73%,25.60%,879950,92,172.56
AXP,"American Express Company",118.59,"100% Buy",61.42%,73.91%,4927360,67,138.13
AZO,Autozone,1137.65,"24% Sell",47.26%,19.52%,259135,684.91,1274.41
BA,"Boeing Company",210.71,"72% Buy",62.97%,66.21%,26336975,89,367.38
BAC,"Bank of America Corp",28.16,"88% Buy",60.01%,57.79%,64324391,17.95,35.72
BAX,"Baxter International Inc",76.07,"100% Sell",40.75%,23.76%,3781115,69.1,95.19
BBY,"Best Buy Company",108.8,"48% Buy",42.62%,53.46%,3493930,48.1,124.89
BDX,"Becton Dickinson and Company",234.84,"56% Sell",48.79%,21.35%,1685420,197.75,286.72
BEN,"Franklin Resources",21.99,"48% Buy",54.68%,46.24%,4136135,14.91,27.79
BF.B,"Brown Forman Inc Cl B",80.66,"100% Buy",60.15%,21.59%,770055,44.68,83.4
BIIB,"Biogen Inc",240.17,"100% Sell",44.13%,178.51%,2816300,223.25,374.99
BIO,"Bio-Rad Laboratories",538.5,"56% Buy",44.82%,56.54%,250045,309.38,648.39
