Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield"
A,"Agilent Technologies",35175088000,34.86,3.19,1071000000,1.02,0.72,0.63%
AAL,"American Airlines Gp",9062885000,0,-14.86,1686000000,1.71,0,0.00%
AAP,"Advance Auto Parts Inc",10173500000,18.04,8.28,486900000,1.41,1,0.67%
AAPL,"Apple Inc",1982239840000,35.59,3.27,57411000000,1.36,0.82,0.70%
ABBV,"Abbvie Inc",185180560000,10.63,9.8,7882000000,0.72,4.72,4.50%
ABC,"Amerisourcebergen Corp",21067452000,13.05,7.9,-3408720000,0.55,1.76,1.71%
ABMD,"Abiomed Inc",12287159000,71.3,3.7,203010000,1.42,0,0.00%
ABT,"Abbott Laboratories",190741600000,33.78,3.15,3687000000,0.9,1.44,1.34%
ACN,"Accenture Plc",164799808000,32.81,7.6,5107840000,1.06,3.52,1.41%
ADBE,"Adobe Systems Inc",228840352000,58.47,8.04,2951460000,1.02,0,0.00%
ADI,"Analog Devices",50896556000,27.69,4.66,1363010000,1.3,2.48,1.80%
ADM,"Archer Daniels Midland",28069824000,13.29,3.8,1379000000,0.87,1.44,2.85%
ADP,"Automatic Data Procs",75149656000,29.06,5.99,2466500000,0.69,3.64,2.08%
ADSK,"Autodesk Inc",59821504000,118.45,1.99,214500000,1.42,0,0.00%
AEE,"Ameren Corp",19526880000,23.56,3.42,828000000,0.27,1.98,2.51%
AEP,"American Electric Power Company",42153184000,20.47,4.17,1921100000,0.29,2.96,3.49%
AES,"The Aes Corp",13994356000,16.02,1.31,303000000,0.9,0.57,2.72%
AFL,"Aflac Inc",31806710000,9.29,4.91,3304000000,0.81,1.12,2.47%
AIG,"American International Group",34211196000,15.37,2.61,3348000000,1.28,1.28,3.22%
AIV,"Apartment Investment and Management",4582096000,12.3,1.03,474080000,0.8,3.28,10.66%
AIZ,"Assurant Inc",7861365000,14.98,9.05,382600000,0.64,2.52,1.88%
AJG,"Arthur J. Gallagher & Company",22282428000,26.2,4.43,668800000,0.68,1.8,1.55%
AKAM,"Akamai Technologies",16982672000,25.06,4.14,478040000,0.47,0,0.00%
ALB,"Albemarle Corp",14654871000,28.79,4.68,533230000,1.3,1.54,1.12%
ALGN,"Align Technology",37493168000,21.55,21.98,442780000,1.75,0,0.00%
ALK,"Alaska Air Group",6374880000,0,-6.13,769000000,1.63,0,0.00%
ALL,"Allstate Corp",31665640000,8.61,12.07,4847000000,0.74,2.16,2.07%
ALLE,"Allegion Plc",10518218000,23.46,4.91,401800000,1.09,1.28,1.12%
ALXN,"Alexion Pharm Inc",27099578000,10.72,11.47,2404300000,1.31,0,0.00%
AMAT,"Applied Materials",75491984000,19.41,4.18,3619000000,1.27,0.88,1.06%
AMCR,"Amcor Plc",18006174000,0,0.48,612200000,0.79,0.47,4.09%
AMD,"Adv Micro Devices",104864472000,97.43,0.89,341000000,2.33,0,0.00%
AME,"Amtek Inc",27554884000,30.33,3.95,861300000,1.31,0.72,0.60%
AMGN,"Amgen Inc",130877408000,13.41,16.43,7842000000,0.81,6.4,2.85%
AMP,"Ameriprise Financial Services",22504302000,11.51,16.52,1893000000,1.78,4.16,2.18%
AMT,"American Tower Corp",103985824000,27.84,4.23,1887800000,0.31,4.56,1.95%
AMZN,"Amazon.com Inc",1603265120000,93.27,34.15,11588000000,1.29,0,0.00%
